name,player_type,steam_id,reason,banned_time,release,complaint_times,register_days,playing_hours,best_weapon,best_weapon_heatshot,best_map,score
Boombl4444444,None,76561199031171291,作弊封禁,2020-03-16,Inf,20,None,None,AK47,0.48,None,1320
苏拉米科技一号,None,76561199031799060,作弊封禁,2020-03-16,Inf,15,None,None,AK47,0.49,None,
NonPlayerCharacter_2,None,76561199025891867,作弊封禁,2020-03-16,Inf,23,None,None,AWP,0.14,None,1938
别问丶小魏,Vip,76561198184273801,作弊封禁,2020-03-16,Inf,1,None,None,SG 553,0.67,None,
TY100丶FDD,None,76561199032373189,作弊封禁,2020-03-16,Inf,0,None,None,AK47,0.41,None,
leigezuishuai7,None,76561198441523207,作弊封禁,2020-03-16,Inf,0,None,None,None,None,None,
我没输过,None,76561199027340825,作弊封禁,2020-03-16,Inf,4,None,None,AK47,0.42,None,
翻天神射手,None,76561198042818206,作弊封禁,2020-03-16,Inf,3,None,None,None,None,None,
马总、,None,76561199031293123,作弊封禁,2020-03-16,Inf,14,None,None,AK47,0.71,None,
nikibabe,None,76561198213490020,作弊封禁,2020-03-16,Inf,1,None,None,None,None,None,
陪玩上分联系哦,None,76561199032384118,作弊封禁,2020-03-16,Inf,1,None,None,AK47,0.20,None,
一予长情,None,76561199030858476,作弊封禁,2020-03-16,Inf,5,None,None,None,None,None,
八五六第一Gank,None,76561199032233874,作弊封禁,2020-03-16,Inf,0,None,None,AWP,0.21,None,
对枪对不过啊,None,76561199032315727,作弊封禁,2020-03-16,Inf,1,None,None,AK47,0.71,None,
你的Xx,None,76561199033547323,作弊封禁,2020-03-16,Inf,2,None,None,AK47,0.58,None,
啊昕,Vip,76561198970678609,作弊封禁,2020-03-16,Inf,29,None,None,SG 553,0.33,mirage,
你的伢子吖,None,76561198982644648,作弊封禁,2020-03-16,Inf,22,None,None,AWP,0.07,None,
泰坦001,None,76561199033392418,作弊封禁,2020-03-16,Inf,7,None,None,AK47,0.44,None,
hongdun19760518,None,76561199030106649,作弊封禁,2020-03-16,Inf,9,None,None,AWP,0.21,None,
满嘴讽刺,Vip,76561199026244493,作弊封禁,2020-03-16,Inf,25,None,None,AK47,0.64,cache,2110
幻想乡♂,None,76561199031573010,作弊封禁,2020-03-16,Inf,10,None,None,Galil,0.77,None,
JOKER-lee,None,76561199032456577,作弊封禁,2020-03-16,Inf,0,None,None,AK47,0.50,None,
爱少,None,76561198796793428,作弊封禁,2020-03-16,Inf,27,None,None,AWP,0.07,None,1354
买外g加我青,None,76561199034177142,作弊封禁,2020-03-16,Inf,7,None,None,None,None,None,
随便取个名字123,None,76561199031615265,作弊封禁,2020-03-16,Inf,0,None,None,None,None,None,
鸿儒大叔哟,None,76561199012338665,作弊封禁,2020-03-16,Inf,0,None,None,AK47,0.26,dust2,
ZakiKoi,None,76561198850235310,作弊封禁,2020-03-16,Inf,5,None,None,None,None,None,
GaotaXia,Vip,76561198829977089,作弊封禁,2020-03-16,Inf,4,None,None,AWP,0.07,mirage,
ONETAP-Clam,None,76561199025952092,作弊封禁,2020-03-16,Inf,17,None,None,None,None,None,
WP121,None,76561199033495756,作弊封禁,2020-03-16,Inf,2,None,None,AK47,0.61,None,
是白给a,None,76561198433574443,作弊封禁,2020-03-16,Inf,0,None,None,None,None,None,
love熊钰婷,None,76561199032532118,作弊封禁,2020-03-16,Inf,6,None,None,AK47,0.75,None,
bxlt850471,None,76561199025913785,作弊封禁,2020-03-16,Inf,19,None,None,AWP,0.21,None,
小九不羡仙,None,76561198817614967,作弊封禁,2020-03-16,Inf,2,None,None,None,None,None,
qwertyuiwind,None,76561198798638109,作弊封禁,2020-03-16,Inf,0,None,None,None,None,None,
快点打我要睡着了,Vip,76561199028099000,作弊封禁,2020-03-16,Inf,0,None,None,None,None,None,
华文,None,76561198358055807,作弊封禁,2020-03-16,Inf,30,None,None,Zeus x27,0.00,mirage,
蟹老板的钱,Vip,76561199033324602,作弊封禁,2020-03-16,Inf,5,None,None,None,None,None,
我爱豆腐佬.,None,76561199032515735,作弊封禁,2020-03-16,Inf,0,None,None,None,None,None,
pingjun,None,76561199022550636,作弊封禁,2020-03-16,Inf,0,None,None,None,None,None,
Gqms冷颜,None,76561199009720852,作弊封禁,2020-03-16,Inf,0,None,None,None,None,None,
空条乔太郎,Vip,76561198979549399,作弊封禁,2020-03-16,Inf,8,None,None,None,None,None,
喔泡果奶噢噢噢,None,76561199031355908,作弊封禁,2020-03-16,Inf,0,None,None,None,None,None,
大碗青菜白玉汤,None,76561198825848967,作弊封禁,2020-03-16,Inf,0,None,None,None,None,None,
Rodma-,None,76561198904080764,作弊封禁,2020-03-16,Inf,0,None,None,None,None,None,
灬口口口,Vip,76561199025080215,作弊封禁,2020-03-16,Inf,1,None,None,M4A4,0.44,None,
Y.W.,None,76561198876941886,作弊封禁,2020-03-16,Inf,0,None,None,None,None,None,
